job_title,company,location,industry,experience_level,salary_usd,remote,required_skills,description,posted_date
Data Scientist,BlueCore Systems,"San Francisco, USA",Technology,Senior,198248,Yes,"pytorch, sql, docker, tensorflow, vector databases","We are looking for a Data Scientist with experience in pytorch, sql, docker, tensorflow, vector databases. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-09 17:45:48.095866
Deep Learning Engineer,NextGen Analytics,"Austin, USA",Finance,Senior,90811,No,"transformers, sql, machine learning, langchain, azure, tensorflow","We are looking for a Deep Learning Engineer with experience in transformers, sql, machine learning, langchain, azure, tensorflow. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-12 17:45:48.095909
Machine Learning Engineer,AIWorks,"Boston, USA",Cloud Services,Mid,113855,No,"aws, mlops, scikit-learn, pandas, transformers, spark, gcp","We are looking for a Machine Learning Engineer with experience in aws, mlops, scikit-learn, pandas, transformers, spark, gcp. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-08 17:45:48.095927
Cloud AI Engineer,TechNova,Remote,Cloud Services,Mid,205272,No,"deep learning, vector databases, python, azure, aws","We are looking for a Cloud AI Engineer with experience in deep learning, vector databases, python, azure, aws. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-02 17:45:48.095939
Deep Learning Engineer,CloudSphere,"Toronto, Canada",Healthcare,Entry,185967,No,"nlp, sql, deep learning, kubernetes, pytorch","We are looking for a Deep Learning Engineer with experience in nlp, sql, deep learning, kubernetes, pytorch. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-25 17:45:48.095950
AI Platform Engineer,CloudSphere,"San Francisco, USA",Cloud Services,Mid,192661,No,"pytorch, scikit-learn, pandas, docker, sql, mlops","We are looking for a AI Platform Engineer with experience in pytorch, scikit-learn, pandas, docker, sql, mlops. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-24 17:45:48.095963
Machine Learning Engineer,CloudSphere,Remote,Healthcare,Entry,211172,No,"spark, kubernetes, langchain, mlops, gcp, sql","We are looking for a Machine Learning Engineer with experience in spark, kubernetes, langchain, mlops, gcp, sql. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-12 17:45:48.095974
Applied AI Scientist,SkyNetics,"Toronto, Canada",Finance,Mid,193425,Yes,"pandas, transformers, mlops, nlp, sql, airflow, vector databases","We are looking for a Applied AI Scientist with experience in pandas, transformers, mlops, nlp, sql, airflow, vector databases. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-25 17:45:48.095986
AI Platform Engineer,AIWorks,"Boston, USA",Technology,Senior,208547,Yes,"transformers, computer vision, nlp, scikit-learn","We are looking for a AI Platform Engineer with experience in transformers, computer vision, nlp, scikit-learn. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-16 17:45:48.095996
Deep Learning Engineer,BlueCore Systems,Remote,Healthcare,Senior,108803,No,"pytorch, spark, deep learning, docker","We are looking for a Deep Learning Engineer with experience in pytorch, spark, deep learning, docker. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-08 17:45:48.096021
LLM Engineer,QuantumLeap Tech,Remote,Retail,Senior,177973,No,"computer vision, vector databases, python, transformers, scikit-learn, kubernetes, aws","We are looking for a LLM Engineer with experience in computer vision, vector databases, python, transformers, scikit-learn, kubernetes, aws. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-25 17:45:48.096033
Applied AI Scientist,SkyNetics,"Toronto, Canada",Healthcare,Senior,161903,No,"azure, computer vision, langchain, vector databases","We are looking for a Applied AI Scientist with experience in azure, computer vision, langchain, vector databases. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-29 17:45:48.096044
LLM Engineer,CloudSphere,"Berlin, Germany",Cloud Services,Senior,108731,Yes,"vector databases, gcp, langchain, nlp","We are looking for a LLM Engineer with experience in vector databases, gcp, langchain, nlp. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-30 17:45:48.096054
LLM Engineer,DataForge,Remote,Healthcare,Entry,91612,Yes,"airflow, spark, gcp, pytorch, computer vision, scikit-learn, langchain","We are looking for a LLM Engineer with experience in airflow, spark, gcp, pytorch, computer vision, scikit-learn, langchain. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-18 17:45:48.096064
Deep Learning Engineer,VisionAI Labs,"San Francisco, USA",Retail,Entry,119236,Yes,"transformers, python, docker, spark","We are looking for a Deep Learning Engineer with experience in transformers, python, docker, spark. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-22 17:45:48.096074
